腾迅体育,#genre#
 2025-07-24 19:30:00_NBL全国男子篮球联赛_NBL全国男子篮球联赛 石家庄翔蓝vs合肥狂风峻茂,http://one.loiey.top:55488/txsport/100002:20255356/342319/1387843200.m3u8?txtoken=83b3ef3f0da5bd337d0a70bbd0e19e7dc5f7a876aa91340794043ead32ab19f230fb7b9cab9387015ec1201776223c8f138b2fe2c9691511563de87c226bea688ee809135e44535e3bdfe82b220d1ebd817d7a4182ff0083bb2858ae01daa82584925d0057118d7ee2b23d0f2e36e300b2e851a36700cd10447ad9d173
 2025-07-24 20:00:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 江苏肯帝亚 VS 河南男青,http://one.loiey.top:55488/txsport/100002:20255452/342923/1388014900.m3u8?txtoken=bef32a66c44fd927c660cd80c255108e72a7410d2e73b2b4a4bc8e25b57d35d1b94c159ca9fbafbb493c6ab2da6dd3616f6103fde1168bdc2c9e8514675140b7dcffee19148c7e06bddae3a2d5ea9db4188fb82803dd6865a139d137edc6fec57d51078ff9867fe3b888c11b7f2afbcd759654b0776f913c1161b4de39
 2025-07-25 07:00:00_WNBA常规赛_康涅狄格阳光 vs 洛杉矶火花,http://one.loiey.top:55488/txsport/100020:11022500152/342596/1387923000.m3u8?txtoken=f32e268ffdfa7b1ea17de20b3f6da00486d0c5d0334aa7fb36f05899aa67eb866f57fca93a904d32a26dffc6d9bba26ff392feabc2ec38d91c35b4c023c7bdac5818050fd68f4ad3d5baf6be50cdf0b012ee225758d72653b8e702b9152d06ccd26a028106005ccb25ecd5b396f062ff3ed64cc7e44f296495fefeca84
 2025-07-25 07:00:00_WNBA常规赛_印第安纳狂热 vs 拉斯维加斯王牌_李雪儿,http://one.loiey.top:55488/txsport/100020:11022500153/342597/1387923100.m3u8?txtoken=f46075842be8bd7d35ff7350e551e4f3079dfe3da2cd7c819136f2e3782e6e58c5170d991d17d87e1f7950d565435f3f6eb8f4fe55decdecbad249618c310566db8afe1a70e60954f33a1d97b564b1d920011cfcc07a8beac86d61ad7a1656e9ed8db815612b9a340e6b066d49fd7cef6e54c177de92346d49cfd71c2b
 2025-07-25 07:00:00_WNBA常规赛_印第安纳狂热 vs 拉斯维加斯王牌_英文原声,http://one.loiey.top:55488/txsport/100020:11022500153/342597/1772601600.m3u8?txtoken=96a7f8c7fe66c8ca0300a2e016e5b788232659bf0b64168336a558e832dba249fd3929f2ca4861b18f718ef4e4a825952f64e1a02771c1c4013652863ed65bb76c6b73b63fdd9ac402d8ae58174c871d1aee97f043c7499eb7db4795f3767159cc0c1f9404d70afbb9a74dcab83ba8b188cd66488c31b08ec67b111f0c
 2025-07-25 08:30:00_WNBA常规赛_芝加哥天空 vs 西雅图风暴,http://one.loiey.top:55488/txsport/100020:11022500154/342599/1387923300.m3u8?txtoken=e0cbc4fad1885b797955cf3f7e82e07d10778c174d47b03b48ffa30d7974ff9272fb250734c2c8a91f030af4bc7c80f84282e23260e211d66cda7a2c8212e4a8b27a8b9f960c32376d09d81e2838dd692b220000d4401f184b7af724b9da11fd6530bcb5b425ba15e75ac8f525cf2d1e8b9450ca87c4814c73cb67d682
 2025-07-25 10:30:00_2025乒超联赛第二阶段_乒超第一日女团：深圳vs成都 孙颖莎出战,http://one.loiey.top:55488/txsport/100002:20255516/343088/1388236200.m3u8?txtoken=33a73e1cd6034fe1d411eddcd1d62149392e30b17a44a1dca1e69cd70a1c7e61f8298b87b60582c7d2ffecf0454744eee277c2c0331de55ccf736a9ba18d58cdaa98cdf335759ea7c25bb9a5b15f38fd605e630a0a1c7957512b8dce3e81f8e0189e3b3faeb5ecc9c98055603dcbae7b1afdcbcb12ad0369cfb88d8dc5
 2025-07-25 10:30:00_2025乒超联赛第二阶段_乒超第一日男团：福建vs安徽,http://one.loiey.top:55488/txsport/100002:20255517/343090/1388238700.m3u8?txtoken=9a5c03a52627ff0a0228151d3214ad94c969936a912de3532e7d20485fe10c51a7acb7f8e130716b66bdc515be5e85bf6909c3f0e7aee646f40ca76cda7ae6d461554ee8150f515d74ab25912c4d97dbb8443752cd99eed8e18642550d2a9b18700b4d25b17eea50d71bb311e76399ef3eb7fae118967692cede0c3bd5
 2025-07-25 10:30:00_2025乒超联赛第二阶段_乒超第一日男团：山东vs汕头 王楚钦梁靖崑林高远出战,http://one.loiey.top:55488/txsport/100002:20255518/343091/1388240100.m3u8?txtoken=0e03d37718a0241f30d47c062e2d235346ab3f912766147404ebde5c924bd78fc0414d8f5ab9dcdfd5190ca5ebec0dbe7037e3da74cf9bf96292aecd305486ff3ee9ffb847fd09bd7dae9d6c4b62d00cf49f5c0479595ab0fc730de7649a2d3b3a182cef92fbb2e3487aef0b637610f0d85e04bcc02a58ca3da3e7775b
 2025-07-25 10:30:00_2025乒超联赛第二阶段_乒超第一日男团：上海vs黄石 樊振东林诗栋出战,http://one.loiey.top:55488/txsport/100002:20255519/343092/1772917000.m3u8?txtoken=16a24755361634ecf4227fc319f07de36f30e0c1c0239fcb6682b94886f29a52eb150e94f4a29fb4e4646840ef64bba59382b4b57b483cfbae9fdc22beb7992e9c19702fc6a4143673bf792f0dc9b877a5e2845339c68f3452f32b5cffe38446bdc563d96551fc25599c8dad93847d9741e2617924187a72eb75b0e12a
